text,label
"Да-да, экзамены — это мой любимый способ провести выходные.",1
"Как же приятно, когда ты в очереди, а кассир уходит пить чай.",1
Получил посылку — всё целое и в срок.,0
"Позвонил другу, обсудили планы на выходные.",0
"Обожаю, когда выходные проходят в пробке.",1
"Неужели это произошло? Ну конечно, опять сбой.",1
Провёл выходной с семьёй — спокойная атмосфера.,0
Сегодня удалось выспаться и начать день спокойно.,0
Классика жанра: сломалось именно в нужный момент.,1
"Идеально, как всегда вовремя — с опозданием на час.",1
"Работаю над новым проектом, всё идёт по плану.",0
"Гулял по парку, слушал музыку — отличное утро.",0
"Сегодня хорошая погода, решил пройтись пешком.",0
Читал интересную статью о технологиях будущего.,0
"Спасибо, снова лучший сервис года!",1
"Посетил выставку, было познавательно.",0
"Ну конечно, ничего другого я и не ожидал.",1
"О да, именно этого я и хотел — работать в ночь.",1
"Ах да, как я мог забыть, что всё через одно место.",1
Сделал домашние дела и навёл порядок на балконе.,0
"Вот уж не думал, что такое вообще возможно. Хотя стоп…",1
Лучший день в моей жизни,0
Лучший день в моей жизни - я потерял работу,1
Лучший день в моей жизни - я потерял жену,1
Лучший день в моей жизни - я потерял собаку,1
Лучший день в моей жизни - я развелся,0
Хочется тепла и ласки,0
Богатый пенсионер,1
Порядочный депутат,1
я не попал в тональность,0
я не умею петь,0
я не умею петь - я соловей,1
я не умею петь как соловей,0
гусь свинье не товарищ,0
"гусь свинье и товарищ, и брат",1
ты не обучаем,0
